REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
4281,7654938145,10000,4804,1500,0,16304
4284,7654753623,8000,449,0,0,8449
4287,7643629107,18668,107404,0,0,126072
4288,7643721004,17775,188942,20809,0,227526
4294,7642891542,14000,86611,3702,0,104313
4295,7652016599,14000,103292,1850,0,119142
4301,7642897068,20857,129334,0,0,150191
4306,8601072725,255249,10737,800,166524,100262
4334,7642884787,24000,172082,13925,0,210007
4339,7643604617,36020,18936,0,0,54956
4346,7654848695,7219,5566,0,0,12785
4347,7654852475,16640,116134,26188,0,158962
4360,7653029007,17500,64393,326,0,82219
4361,7632688591,22975,22805,0,0,45780
4365,7667030717,14406,29220,1000,0,44626
4367,7652100833,16500,990,200,0,17690
4371,7657235264,17625,123670,10799,0,152094
4372,9500186593,259200,127336,35250,0,421786
4373,7643831609,15250,89882,0,0,105132
4376,7643264561,10500,12940,700,0,24140
4380,7654556202,13000,69444,100,0,82544
4384,7643629340,36500,132149,18296,0,186945
4385,7647483140,14876,84526,40507,0,139909
4387,7647954577,34000,99391,1600,0,134991
4388,7653171632,20309,126492,500,0,147301
4393,7652832763,22326,36933,1975,0,61234
4399,7643635725,10075,76157,2498,0,88730
4401,7633018689,200000,81044,7500,0,288544
4402,7663458151,16500,48967,3802,0,69269
4407,8664620435,25639,5202,0,0,30841
4408,7662123913,12500,1201,100,0,13801
4414,7652012695,10000,68378,900,0,79278
4415,7642619335,12000,762,0,0,12762
4420,7657821371,19841,2866,12500,0,35207
4426,7720705034,18050,76594,11984,0,106628
4431,7652701328,12390,51118,0,0,63508
4437,7657810886,16027,7609,3600,0,27236
4440,7638607891,0,11278,0,0,11278
4444,7629034878,21165,3011,12300,0,36476
4448,7629151486,21500,171584,10098,0,203182
4450,7663830077,8000,97319,200,0,105519
4463,7653021476,10000,35396,4752,0,50148
4464,7651098741,14000,24488,2498,0,40986
4475,7711207856,12550,51422,500,0,64472
4479,7654441504,13000,50043,900,0,63943
4481,7647075322,27500,89336,34000,0,150836
4483,7654301913,14000,52350,1997,0,68347
4490,7619648890,15000,59001,30516,0,104517
4501,7638719880,35650,134681,9178,0,179509
4506,7678183283,12083,100247,2499,0,114829
4509,7652702781,36200,79507,10374,0,126081
4512,7638330390,0,7838,2000,0,9838
4515,7638423728,15000,167542,16100,0,198642
4521,7653956778,47896,61819,14426,0,124141
4525,7638423113,24900,116829,100,0,141829
4533,7711304855,20325,177207,801,0,198333
4534,7652661105,8500,7009,0,0,15509
4537,7657146048,15000,4982,16,0,19998
4540,7664021811,12000,70334,401,0,82735
4541,7653888916,12000,138458,353,0,150811
4543,7643718431,12000,20751,0,0,32751
4544,7652528111,10000,38999,500,0,49499
4567,7629685236,16550,260233,45939,0,322722
4573,7647890457,27400,80552,2900,0,110852
4582,7667580028,16250,48724,0,0,64974
4584,7642796509,0,11091,1300,0,12391
4589,7654934394,12000,75917,4000,0,91917
4597,7654213215,10000,31181,0,0,41181
4602,7637974883,13000,72628,5200,0,90828
4604,7647956435,34000,155472,10000,0,199472
4611,7647292467,12675,768,0,0,13443
4614,7662099427,14000,35667,0,0,49667
4615,7642944118,15000,72308,9999,0,97307
4617,7619649533,20450,103382,500,0,124332
4622,7663454090,6400,228,0,0,6628
4625,7654500393,12000,55166,1700,0,68866
4626,7643735076,14000,109688,600,0,124288
4629,7657821079,17497,7762,5100,0,30359
4632,7664033553,29699,55232,6201,0,91132
4640,7654601004,12000,34251,2900,0,49151
4649,7657046325,18500,148897,6897,0,174294
4653,7654848263,14825,110038,14798,0,139661
4657,8684173594,5000,22054,0,0,27054
4659,8685680973,14000,32845,600,0,47445
4663,8684174714,7000,42218,100,0,49318
4664,8684172472,7500,6136,0,0,13636
4666,8684174693,4000,20470,200,0,24670
4669,8673112585,12000,2329,0,0,14329
4680,8694261590,105000,6071,300,47160,64211
4686,8695340978,9000,55724,400,0,65124
4694,8674021116,21450,284131,11600,0,317181
4696,8695118477,15825,105717,300,0,121842
4698,8696007356,144000,17007,100,65190,95917
4700,8694392623,17025,105588,0,0,122613
4701,8686217809,14000,52098,6600,0,72698
4703,8642270934,10000,29974,4080,0,44054
4705,8632479203,31760,4307,202,0,36269
4710,8673105200,8000,62194,20968,0,91162
4712,8673448397,45000,13420,18403,0,76823
4725,8642590130,15000,86393,3000,0,104393
4736,8673435546,15000,739,200,0,15939
4753,8685566510,10000,76573,100,0,86673
4756,8694259918,15000,108292,100,0,123392
4767,8661557859,22250,94764,100,0,117114
4771,8695325622,20225,156867,2500,0,179592
4772,8661889369,14500,38250,300,0,53050
4776,8672276880,77400,53350,31603,0,162353
4777,8684170446,14500,691,0,0,15191
4779,7642220295,0,870,50,0,920
4781,8694690315,18125,14342,10100,0,42567
4784,8695266941,10000,41598,0,0,51598
4786,8695119529,10000,35457,400,0,45857
4787,8695358366,7000,37077,0,0,44077
4789,8695359401,6000,25920,0,0,31920
4797,8664214947,15725,108763,700,0,125188
4798,8664003131,15000,89806,0,0,104806
4802,8667318700,15000,7531,400,22931,0
4803,8695139999,10000,152201,0,0,162201
4806,8695222220,10000,77846,800,0,88646
4808,8695650715,60200,68998,10936,0,140134
4809,8694478205,15089,4066,300,0,19455
4812,8683428676,16750,42620,0,0,59370
4816,8653778209,587000,111089,2000,420090,279999
4821,8622960257,8000,62641,850,0,71491
4827,8695334658,15000,23110,0,0,38110
4829,8622812299,10000,22686,200,0,32886
4830,8622812490,10000,54688,300,0,64988
4831,8642196999,10000,262,0,0,10262
4832,8632378095,16250,40639,11313,0,68202
4839,8663422901,19500,637,0,0,20137
4842,8663426942,24500,5374,2448,0,32322
4844,9999999999,6000,594,0,0,6594
4845,8674971159,12000,82958,0,0,94958
4846,8683411671,16437,635,0,0,17072
4847,8683410701,12000,25394,200,0,37594
4848,8673731648,6000,4803,0,0,10803
4851,8685695171,9000,36493,300,0,45793
4852,8683632733,10000,60888,1300,0,72188
4853,8632097382,9000,13479,1700,0,24179
4854,8694573622,45800,77503,338419,0,461722
4856,8685467797,12882,632,0,0,13514
4862,8653655895,294700,2446,0,193115,104031
4864,8653554399,86250,30795,18454,54815,80684
4865,8685520780,11000,100345,100,0,111445
